,productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3,tokens,keyatm_label,Accuracy
21773,B000EQHK3A,1-2-3 Treehouse - V.Smile SmartVille Imaginative Play,A6964G20W6WKJ,0/0,3.0,1265155200,"There are many parts to this toy that don't attach well. The little fence was lost within days and the shape sorter was taken off because my daughter couldn't figure out how to put them in because of the awkward angle. The little animals, although it's nice that there are a lot of them, have no place to be stored. I now have to have a specific storage container just for them. As others have mentioned, the ""up and down"" is extremely obnoxious and will override the other songs that are playing and, even worse, the animals have to precariously balance in the swing. We bought it for my daughter who has not outgrown it and my son has now grown into. Being a second child, there are many more options and he rarely plays with this toy even when I bring it out specifically for him to play with.",toys games,electronics for kids,systems accessories,150,toys games,True
4434,B00022WC1Q,Vidal Sassoon VSCL900 Professional Cord/Cordless Hair Clipper Kit,AS42SV2WZ6M9U,2/4,5.0,1121817600,"I bought the clipper because my son's hair grows like a weed. I got the kit and watched the DVD....I have never used clippers to cut hair before and was a little conserned that I was going to mess it up. I used the different combs included in the set and it was really easy to do. His hair looks great and other people think that he went to a barber to have it done, and that was only my first time using it. Thank you for this awesome product, my son will look better and I will have more money, since I do not have to take him to the barbers all of the time now.Mickella",health personal care,personal care,shaving hair removal,117,health personal care,True
22969,B000CPJPT0,Loreal Hair Fixer 6 applications,A3SOM6MLGVE823,2/2,5.0,1272067200,"I've used this product before, so I knew how it would work, but I've never left a review so here it is. I think this is a good solid product. It's not magic, but it does gradually improve the condition of your hair over time. For the people who say it doesn't work at all--yes it does. Possibly your hair was just too damaged for this to help you. There is a point when you've abused hair so much that the only thing you can do is cut it off.I've had color treated and permed hair off and on since I was a kid. Anyway, the last year I've done a lot of lighter colors--peroxide and ammonia really rip up your hair. I've had some very light breakage, weird frizziness only in certain places, and over all my hair wasn't as soft as it used to be.I wasn't sure what to do, short of shaving my head, but I looked around online (especially Amazon) and found this product. I bought it, it shipped promptly, and I really thought it improved my hair's condition. It probably took 3-4 applications to see the results promised. 1 application helps, but 3-4 is what it takes to truly glue hair back together at the strand level. I hope it hasn't been discontinued. The last seller I bought it from canceled my order with vague information that they had no idea when they'd get more from the manufacturer. So if you read this, my advice is to stock up.",beauty,hair care,hair scalp treatments,254,beauty,True
28806,B000GL1DZO,Accoutrements Lunch Lady Action Figure,A89ZZKNDFQH23,0/0,4.0,1301961600,"My ex-hubby left his field as a Professor of Masters students to be a lunch lady. We have a very amicable breakup and I'm still a bit of a sassy thing, so for a monumental occasion this year my son and I gave him the lunch lady. Thing is, he plays with it. Not like an action figure, but he will change the menu out for the lunch lady to serve.This is a hoot. And my ex is a good egg for taking the ribbing. So bring on the lunch lady in her glorious hair net and ice cream scoop and start serving the kids. In addition to the lunch lady we gave him the horror film stock charcaters, so that when the lunch lady sets out the day's meals the 'students' all look horrified. It's truly awesome in a sick way and my 9 year old likes to make diaoramas of the horror show that is lunch.To really add to the food fun, might I suggest Mr. Bacon vs. Monsieur Tofu Action Figures or perhaps Captain Corndog vs. Baron Von Broccoli.",toys games,novelty gag toys,unknown,182,grocery gourmet food,False
12044,B0002603RC,Melissa & Doug Toys - Sound Puzzle,A2NBKS27M3ORAC,0/0,5.0,1198972800,My daughter loved this product. She used it over and over again. I wish they would create a product that had numbers from 21 to 100. Highly recommended for children with Autism or speech delays.,toys games,puzzles,brain teasers,35,toys games,True
1420,B00005YWN0,Summer Infant Baby's Quiet Sounds Video Monitor,A1NV6ZG3J06VRT,7/7,4.0,1051056000,"I read some of the reviews and I too am a new mom who held on to the bassinet as long as possible. This monitor has a clear picture. Some of the reviews state ""too noisy"" well then lower the volume. I have no trouble with interference. Also another review stated this product didn't have infra-red to see in the dark. NOT TRUE!! I think this is a great product and would recommend it to anyone. It is also $50 or more less than the Safety 1st monitor",baby products,safety,monitors,88,pet supplies,False
28938,B000668QYU,"Clif Bar Builder's Bar, 2.4-Ounce Bars",AH0R88VXBLDU1,0/1,5.0,1302480000,"I LOVE the Peanut Butter Builder's bars. While Amazon is great for so many things, a trip to TJ's is too good to pass up. A little cup of coffee, a sample or two and into the cart with some fresh vegetables and whatever else is irresistible that day. Life doesn't get much better. If TJ's weren't local (perish the thought!), i'd order the bars from Amazon. With Amazon's sales volume, 2-day FedEx delivery and a sheltered place for the packages when they arrive, freshness hasn't been a problem.",health personal care,nutrition wellness,nutrition bars drinks,89,grocery gourmet food,False
27302,B0002ZS20I,Clevercat Top Entry Litterbox,A2O8Z4MX4I8WYT,0/0,5.0,1295395200,"We have had this litter box for about 6 months now and it works great. We were a bit unsure if the cats would take to the new design, but we followed the directions of having it side-by-side with our old unit for a while and they couldn't resist. The design is great for keeping the litter in the litter box. Our cats like to scratch and scratch and they often threw litter all over the floor near the old covered box. This unit does not have this issue. There will be some litter on the top of the unit, but that is by design and is not an issue.We don't use the liners for this, but just clean it out and periodically dump the litter for a new batch. When we do that, we'll wash it out, which is not a big deal. The unit is basically like a large storage bin with a smooth hole cut out of the top. Very clever design, which works well. It also keeps our dogs out of the litter box. Now if we can just find a way to keep them out of the cat food!If you are considering this unit, don't hesitate. It works well. Sturdy and solid plastic. Not the prettiest thing in the world, but heck, it's a cat box! What do you expect?",pet supplies,cats,litter housebreaking,225,pet supplies,True
504,B000046S2G,Safety 1st Grow with Me Portable Booster Seat,A1QNJD06GIN72O,3/3,1.0,1004313600,"This chair, appears to be very convient. Looks can be decieving. I purchased this chair for my one year old. It is made to be strapped on to a kitchen chair, which is pretty high for a 20lb child. My daughter was in her chair, eating breakfast when she leaned over to see our dog. The whole side of the chair snapped, and my daughter fell out of the chair and, on her head, face first. Luckily I was right there and she wasn't hurt severely.I hated this product, and don't recommed ANY parents to buy this for their children.",baby products,car seats accessories,car seats,100,baby products,True
28566,B000NHSAVQ,Merkur Classic Safety Razor with Open Tooth Comb,A37JNE9W4CZ5R1,4/4,5.0,1300924800,"I for one have never really liked my electric shaver, I have tried four or five different styles of them, they are convenient to be sure, and they do an ok job, but they are expensive, and when it's time to replace the blades, it's usually cheaper just to buy a new razor. I've also tried a number of the ""multi-blade"" razors out there, and found that one blade gets just as close as five. My fall back go to razor has always been a bic sensitive skin disposable razor. They are inexpensive and always perform and get closer than any multi-blade or electric razor ever could. I then decided to try a straight razor, the Parker SR1 Stainless Steel Straight Edge Razor to be exact. I didn't want to try an expensive one or one that required sharpening and stropping, because I really wasn't sure how it was going to work out for me. Long story short, I almost cut my head off on more than one occasion, so I retired it and chalked it up to my inexperience with that particular type of razor. It is a good razor and uses disposable blades, but just not for me. Then I decided to try the old school safety razor, specifically this one. It is very solid, heavy, and smaller than the bic disposables I'm used to, but then again I never really grabbed a razor with my whole fist either. I have to say that this is by far the best razor I have ever used. I shave daily and can forsee using this daily, and I can also see that it would work well with thicker beards and moustaches as well. The weight is nice as it makes shaving easier, smoother, and more fluid, I can say that I honestly shave faster, get a cleaner shave, and no nicks, tugs, or cuts with it. It is the most perfect shave I have ever had.",health personal care,personal care,shaving hair removal,326,health personal care,True
